drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,846.0,46.0,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,1553.0,53.0,Variance drift (sigma 1 to 2.5)
3,2200,gradual,True,2505.0,305.0,Gradual mean drift (2.5 to 5.0)
4,3000,variance,True,3447.0,447.0,Variance shrink (1.0 → 0.3)
5,4000,mean,True,4406.0,406.0,Mean reversal (5 → 0)
6,5000,cyclic,True,6194.0,1194.0,Cyclic drift (sin wave)
7,6000,distribution,True,7633.0,1633.0,Gaussian → Uniform
8,7000,gradual,True,10546.0,3546.0,Very slow gradual drift
9,9000,mean,True,12401.0,3401.0,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,True,17429.0,5429.0,Late variance expansion
11,15000,variance,False,,,Noise reduction
