x,n300_reference,n799_pre_drift1,n900_post_drift1,n1499_pre_drift2,n1600_post_drift2,n2199_pre_drift3,n2400_post_drift3_200,n2999_final
-4.0,0.031038607546307946,-0.10926626857497543,-0.14784751288249542,-0.12054609434596675,-0.0965321282181783,-0.05515837606760168,-0.013199066279397736,-0.05864375457748447
-3.9649122807017543,0.024145942322019297,-0.1045059198036145,-0.12046962965624694,-0.09788176599441595,-0.09811391556291225,-0.08631818370927115,-0.026847387438888454,-0.09591220682759422
-3.9298245614035086,0.015520127766212102,-0.08467937932404848,-0.07417503825716765,-0.05670265809560371,-0.08046342555766313,-0.09956347976820443,-0.041224333172285604,-0.10841798350834392
-3.8947368421052633,0.005672012336010751,-0.053324642286202574,-0.017539745340551742,-0.0047041335454574285,-0.0452741001451329,-0.08847311025435022,-0.049707552509331177,-0.09077058107487611
-3.8596491228070176,-0.004733695526372317,-0.015590732204790507,0.03933349154176606,0.048011564363379014,0.001508255892917365,-0.05287055409881842,-0.04600818470855259,-0.04642246091892413
-3.824561403508772,-0.014947161952068383,0.022581918358946445,0.08660718121701835,0.09090425687315386,0.050607282736058815,0.00043778973223928923,-0.02685199710333588,0.013124280295259583
-3.7894736842105265,-0.02421498386984383,0.055387910867895615,0.11642755450057349,0.11517266220547975,0.09131374927699232,0.0589277067197282,0.006055946197503076,0.0715597637002103
-3.754385964912281,-0.03186496350948578,0.07804235594650784,0.12426150376017579,0.11567399307882142,0.11395834376404843,0.10741300588956355,0.04561316911775526,0.11248124302972268
-3.719298245614035,-0.03738376688791353,0.0874855056469399,0.10961442874265862,0.09214472882617804,0.11236316878589953,0.13213297074924912,0.08081355713227954,0.12416797972309024
-3.6842105263157894,-0.04047763121329415,0.08279748269759486,0.07600561740381401,0.0494095793354472,0.08562735479427472,0.12475437443037996,0.09987628238667212,0.10299928214116232
-3.6491228070175437,-0.04110800266255628,0.06526267302829869,0.03021491705472872,-0.003522827848517082,0.03872579057168374,0.08511931120295263,0.0941230688504799,0.054519961138341566
-3.6140350877192984,-0.039496761335785995,0.03808165209220847,-0.019050928774795747,-0.05532891141796949,-0.018326246482559178,0.021858597426354293,0.061354569867058596,-0.008134128522483436
-3.5789473684210527,-0.0360992330364336,0.005786668898842847,-0.06281700505561455,-0.09482368970849023,-0.07262999283083954,-0.04944538788026717,0.007509837417248727,-0.06796119483763739
-3.543859649122807,-0.03154710259065083,-0.026535138762746442,-0.09350979770180859,-0.11346297827899664,-0.11141492532303161,-0.11017238763313597,-0.05415409707263927,-0.10886698709515658
-3.5087719298245617,-0.026567173891905688,-0.05407665290525995,-0.10632375740617901,-0.10732031739994127,-0.12518566691583152,-0.14365924811581438,-0.10636986696810619,-0.12010939445027169
-3.473684210526316,-0.02188520091125476,-0.07306292715879863,-0.10003082917130629,-0.07806095001895999,-0.11020637612375288,-0.13991409242145747,-0.13283313931067392,-0.09916779593107575
-3.43859649122807,-0.018126319663227308,-0.08129723082647289,-0.07708705492668586,-0.03265005386221892,-0.06965243558253947,-0.09869553468203622,-0.12339041514916844,-0.05227378462302381
-3.4035087719298245,-0.01572461870237979,-0.07841621456259612,-0.04302627542046743,0.018179571770624847,-0.013069530863845713,-0.030002450618792045,-0.07778571812978666,0.007478411295798699
-3.3684210526315788,-0.014853910267020987,-0.06582213559237879,-0.005268630583399464,0.062380048016082656,0.0457995036165989,0.048285646890805736,-0.006633533677896486,0.06384609353769634
-3.3333333333333335,-0.015389789145953986,-0.046317490259734834,0.02841560402936852,0.08940986662123565,0.09233495495975554,0.1150757550468727,0.07093040092678408,0.10189914974316962
-3.2982456140350878,-0.016909753299326077,-0.023519251168157597,0.0514803063376575,0.09276510118420464,0.1147049209393517,0.1518125211060116,0.1324460060318524,0.11198884249164688
-3.263157894736842,-0.018733838120687765,-0.0011669402088238731,0.059903306179986515,0.07160819713324296,0.10694945690461645,0.14773078203840762,0.1587538753902072,0.09217190503880245
-3.2280701754385968,-0.020003350211801975,0.017545578459014013,0.05295442856765748,0.031078889068089213,0.0706725297786519,0.10310748434649443,0.14007315367909626,0.04850142176764094
-3.192982456140351,-0.019790429730601036,0.03049309278926835,0.03328078661684678,-0.018823818352109105,0.014858751117124973,0.029525079061900023,0.07959569094651171,-0.006805856045272313
-3.1578947368421053,-0.017226902664421923,0.036906013771542054,0.006294895029216242,-0.06555798440018666,-0.046201942662846884,-0.0530261268516616,-0.006682463692227705,-0.058753536214604093
-3.1228070175438596,-0.011637745528167875,0.03737760800451815,-0.021008767977141518,-0.09702606974472619,-0.09641148572352548,-0.1214870193359507,-0.09406825612303704,-0.09354989828200597
-3.087719298245614,-0.0026629092815302347,0.03360234944832108,-0.041567359357469094,-0.10452849974399753,-0.12193106047690902,-0.1560759731578419,-0.15617198733014095,-0.10213430937147769
-3.0526315789473686,0.009648490407015403,0.02790794415983394,-0.04978385385203095,-0.08496781335655706,-0.11479378592503484,-0.14588249062820094,-0.1727970985876819,-0.08236141466316196
-3.017543859649123,0.02478544115829147,0.022682568115462973,-0.04276572810257842,-0.04175126622725475,-0.07512453653601214,-0.09211612179127929,-0.13633777036679118,-0.03934869025827811
-2.982456140350877,0.04177365560044327,0.019817683487458507,-0.021009226138826095,0.015857492347597146,-0.011360360131221353,-0.008044891244673821,-0.054652356918200376,0.01601641163953995
-2.947368421052632,0.059230111442033474,0.020281835815372955,0.011619585996742923,0.07481570519559738,0.061637792793120844,0.08442657343286655,0.050619680312070356,0.0699533453936483
-2.912280701754386,0.07547188172182898,0.023913017031934845,0.04861412646039359,0.12133548459881674,0.12615321280928835,0.16063998491265952,0.14996695763923326,0.10927556908240252
-2.8771929824561404,0.08867123838811879,0.029471879574254446,0.08212903985808447,0.14415971891223917,0.16599222324210652,0.19991788761989385,0.21449853217198753,0.12460644773862442
-2.8421052631578947,0.09704314946750663,0.03494413989467821,0.1045971418384711,0.13729265521832396,0.17057805052449365,0.19127673764774783,0.22452686404769112,0.11255500271997415
-2.807017543859649,0.09904664972412545,0.03802855203699707,0.11033527025293677,0.1015168374170228,0.13771510787080704,0.1365116122856652,0.17564316279064307,0.07637181545543478
-2.7719298245614037,0.09357873791491136,0.03670725887379787,0.09680870292062117,0.0443127771623314,0.07429947604569882,0.04977179346258198,0.08038115883682034,0.024990605540858662
-2.736842105263158,0.0801388537902675,0.029776256076008346,0.06528670234938858,-0.021819159484591615,-0.005236638292408509,-0.04627036481784136,-0.03513439772199153,-0.029253849706665395
-2.7017543859649122,0.05894379583019253,0.017219329715949236,0.0207400622543816,-0.08224669851374845,-0.08238433654904662,-0.1265945749714819,-0.13864128172937837,-0.07364376102445905
-2.666666666666667,0.030977074806126534,0.0003385213834765366,-0.02901764703801372,-0.12361755844528022,-0.1390699998450845,-0.17062734195683837,-0.20111530232341163,-0.09809737159303714
-2.6315789473684212,-0.0020371868653873554,-0.01839751182100418,-0.07478998228551874,-0.13697680547394492,-0.162091826891598,-0.16775992236600862,-0.20526945856938342,-0.0974810262822528
-2.5964912280701755,-0.037738185338276824,-0.03576824287700309,-0.10777839228191206,-0.11983839557215323,-0.14636282518583993,-0.12006123522970538,-0.15061185943423888,-0.072692977332694
-2.56140350877193,-0.07330441636690418,-0.04840458741213194,-0.12133254940817549,-0.07671180744108275,-0.0961387267405085,-0.041459419520214646,-0.05352248127137321,-0.030296205496372963
