N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution
20000,7,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06064368042405859,0.024346408275328284,7,574.0,,,,
20000,123,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,708,708,708.0,708.0,0.06061637112606919,0.01654217457782249,7,708.0,,,,
20000,2024,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,614,614,614.0,614.0,0.060728424065160345,0.020401678059441052,7,614.0,,,,
20000,99,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,749,749,749.0,749.0,0.0604918061766498,0.016141676487456673,7,749.0,,,,
20000,42,0.0,6.0,0.7,400,0.06,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,54,10744,3676.8333333333335,2968.5,0.07661730952353807,0.03185681238620395,50,1967.5,2663.0,2056.0,10744.0,
20000,7,0.0,6.0,0.7,400,0.06,7,11,7,0.6363636363636364,8,7,1,0.125,49,12174,4874.0,3846.0,0.07296851395204938,0.0295608416414897,76,1947.5,2677.0,2062.0,10633.0,12174.0
20000,123,0.0,6.0,0.7,400,0.06,7,11,9,0.8181818181818182,10,9,1,0.1,59,8958,4348.777777777777,3729.0,0.07103601034317539,0.02227923310591147,82,3833.0,2389.5,5241.0,3421.0,8958.0
20000,2024,0.0,6.0,0.7,400,0.06,7,11,9,0.8181818181818182,10,9,1,0.1,49,8806,4345.0,3753.0,0.06548917891664868,0.020109758400294452,88,3821.3333333333335,2433.5,5267.5,3433.0,8806.0
20000,99,0.0,6.0,0.7,400,0.06,7,11,10,0.9090909090909091,11,10,1,0.09090909090909091,57,6658,3129.8,2461.0,0.07270660665585875,0.018645833820539127,92,2927.3333333333335,2739.6666666666665,4336.5,2760.0,2864.0
20000,42,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,446,16394,8420.0,8420.0,0.06118049809263571,0.02662568582732044,14,446.0,16394.0,,,
20000,7,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,420,15250,7835.0,7835.0,0.06065818670085864,0.028025547994076166,14,420.0,15250.0,,,
20000,123,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,485,17039,8762.0,8762.0,0.061404732902937055,0.025438144157490142,14,485.0,17039.0,,,
20000,2024,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,453,16044,8248.5,8248.5,0.06114987391637164,0.025846612826746277,14,453.0,16044.0,,,
