drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,946.0,146.0,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,1742.0,242.0,Variance drift (sigma 1 to 2.5)
3,2200,gradual,True,3082.0,882.0,Gradual mean drift (2.5 to 5.0)
4,3000,variance,True,4481.0,1481.0,Variance shrink (1.0 → 0.3)
5,4000,mean,True,8292.0,4292.0,Mean reversal (5 → 0)
6,5000,cyclic,True,13144.0,8144.0,Cyclic drift (sin wave)
7,6000,distribution,False,,,Gaussian → Uniform
8,7000,gradual,False,,,Very slow gradual drift
9,9000,mean,False,,,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,False,,,Late variance expansion
11,15000,variance,False,,,Noise reduction
