x,n300_reference,n799_pre_drift1,n900_post_drift1,n1000_post_drift1_200,n1499_pre_drift2,n1600_post_drift2,n1700_post_drift2_200,n2199_pre_drift3,n2300_post_drift3,n2400_post_drift3_200,n2999_pre_drift4,n3100_post_drift4,n3200_post_drift4_200,n3999_pre_drift5,n4100_post_drift5,n4200_post_drift5_200,n4999_pre_drift6,n5100_post_drift6,n5200_post_drift6_200,n5999_pre_drift7,n6100_post_drift7,n6200_post_drift7_200,n6999_pre_drift8,n7100_post_drift8,n7200_post_drift8_200,n9999_final
-4.0,0.031038607546307946,-0.10926626857497543,-0.14784751288249542,-0.09844350846787522,-0.12054609434596675,-0.0965321282181783,-0.10647279151740535,-0.05515837606760168,-0.06035532472575522,-0.013199066279397736,-0.05864375457748447,-0.1194051976691782,-0.0819816697901488,-0.04353117126032752,-0.0045754568247115684,-0.032484579263681056,-0.0785049941077173,-0.06851303506289674,-0.029407575911208107,-0.013864355160697811,-0.025013398200286106,-0.004584108292787173,0.024342031532318068,0.006658940080437263,0.008480245287527402,0.07796890062235776
-3.9649122807017543,0.024145942322019297,-0.1045059198036145,-0.12046962965624694,-0.07478083645263994,-0.09788176599441595,-0.09811391556291225,-0.12723983337150024,-0.08631818370927115,-0.08403040434687263,-0.026847387438888454,-0.09591220682759422,-0.14728004706200135,-0.11198338194892757,-0.07327334719538028,-0.04133428861056876,-0.07441986075997607,-0.050780965764100156,-0.062433935936864526,-0.03022890833828676,-0.046580140117267334,-0.06789986016728765,-0.057622841758168605,0.03822562885960684,0.008937598770747464,0.025059816306617473,0.04720388116792346
-3.9298245614035086,0.015520127766212102,-0.08467937932404848,-0.07417503825716765,-0.040850986362882896,-0.05670265809560371,-0.08046342555766313,-0.12040040187444614,-0.09956347976820443,-0.09015286083711177,-0.041224333172285604,-0.10841798350834392,-0.1306888319569133,-0.11066216749798474,-0.08597495807727107,-0.07446136811649855,-0.09783835451385726,-0.012427881292691817,-0.03980284194505429,-0.029934349071552846,-0.06766668114399345,-0.08769271356031971,-0.09286531560116662,0.018212935945123895,-0.005857229304004952,0.015498899714530279,-0.01880985216378897
-3.8947368421052633,0.005672012336010751,-0.053324642286202574,-0.017539745340551742,-0.002778540421666479,-0.0047041335454574285,-0.0452741001451329,-0.08483905586538332,-0.08847311025435022,-0.07467214754507415,-0.049707552509331177,-0.09077058107487611,-0.07518928011293526,-0.07777884336855567,-0.07537845770441813,-0.0889005579268449,-0.0919297510912128,0.018989704532847484,-0.010561330166302757,-0.027564493463458267,-0.0653762724076224,-0.07333043548950946,-0.09099346743807868,-0.0249096518269869,-0.029897793627262942,-0.015371190626348952,-0.07904829886976031
-3.8596491228070176,-0.004733695526372317,-0.015590732204790507,0.03933349154176606,0.0329734545083656,0.048011564363379014,0.001508255892917365,-0.026782828182292606,-0.05287055409881842,-0.0389627112202555,-0.04600818470855259,-0.04642246091892413,0.001409822479539996,-0.0225939352817112,-0.041662614828450836,-0.07412526461781814,-0.055199432707507115,0.032333193345929684,0.015143603146289764,-0.02021210514443028,-0.03727893987083089,-0.028814266171046432,-0.04937057555709867,-0.06391982194625473,-0.046855679905850295,-0.047349162748328996,-0.09610199142710539
-3.824561403508772,-0.014947161952068383,0.022581918358946445,0.08660718121701835,0.060682371299197325,0.09090425687315386,0.050607282736058815,0.04122462577696862,0.00043778973223928923,0.00995995315817954,-0.02685199710333588,0.013124280295259583,0.07526287915844479,0.039095053361093986,0.007633401345903018,-0.0296628400096543,0.0029894728317833193,0.027436547857609628,0.031025190760538772,-0.005321445102651104,0.007785461572059865,0.028240641070758202,0.015855245856470218,-0.07083075820834632,-0.04137806930347643,-0.056548473729249885,-0.0583967124536105
-3.7894736842105265,-0.02421498386984383,0.055387910867895615,0.11642755450057349,0.07627765338742457,0.11517266220547975,0.09131374927699232,0.10314577787214303,0.0589277067197282,0.0608050445419753,0.006055946197503076,0.0715597637002103,0.12443145343321659,0.08984185733535437,0.0590904509733237,0.032960717998907776,0.06484638256150922,0.013805005263171514,0.036345088112445155,0.016699867198447897,0.0531095530427921,0.07466576228426886,0.07703182197749867,-0.03401171154014572,-0.008998317261496677,-0.030183228734554257,0.013828757401453909
-3.754385964912281,-0.03186496350948578,0.07804235594650784,0.12426150376017579,0.07793684725771642,0.11567399307882142,0.11395834376404843,0.14341201004169216,0.10741300588956355,0.10070203278000142,0.04561316911775526,0.11248124302972268,0.13579402506833124,0.11576828716188042,0.09715411720593899,0.09318919828174894,0.10994954799777634,0.004386516085582798,0.034695453739218535,0.04113025055585512,0.08133384706227896,0.09240400370120208,0.10808535992491365,0.03320536803540815,0.03937294062421638,0.024189034032943146,0.08139121317574155
-3.719298245614035,-0.03738376688791353,0.0874855056469399,0.10961442874265862,0.06627555582293841,0.09214472882617804,0.11236316878589953,0.15101724641559094,0.13213297074924912,0.11857437051494886,0.08081355713227954,0.12416797972309024,0.10865430948332411,0.11048899321319922,0.10910803946744331,0.12861108408624386,0.1224308050706574,0.007783048663192738,0.03080069752673331,0.05983493914176036,0.08202206407989288,0.07648984780427803,0.0968232596075326,0.0979055852166737,0.0814880386616248,0.08080320623456887,0.10915270358350815
-3.6842105263157894,-0.04047763121329415,0.08279748269759486,0.07600561740381401,0.0441130775558078,0.0494095793354472,0.08562735479427472,0.12264206154816704,0.12475437443037996,0.10829609279287167,0.09987628238667212,0.10299928214116232,0.054044252974525336,0.07661694072876896,0.08961653795337288,0.12372283716890899,0.09689897938091205,0.023028530069730907,0.027219124276574566,0.06428865995204419,0.05598732425435418,0.03650684398640433,0.05029697118753704,0.12463559465147316,0.09475491079942158,0.10871472295455478,0.08509762996466991
