drift_id,position,type,mean_before,std_before,mean_after,std_after,label
1,800,mean,0.0,1.0,2.5,1.0,Abrupt mean drift (0 to 2.5)
2,1500,variance,2.5,1.0,2.5,2.5,Variance drift (sigma 1 to 2.5)
3,2200,gradual,2.5,2.5,5.0,1.0,Gradual mean drift (2.5 to 5.0)
4,3000,variance,5.0,1.0,5.0,0.3,Variance shrink (1.0 → 0.3)
5,4000,mean,5.0,0.3,0.0,1.0,Mean reversal (5 → 0)
6,5000,cyclic,0.0,1.0,0.0,1.0,Cyclic drift (sin wave)
7,6000,distribution,0.0,1.0,0.0,1.0,Gaussian → Uniform
8,7000,gradual,0.0,1.0,3.0,1.0,Very slow gradual drift
