drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,926.0,126.0,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,1511.0,11.0,Variance drift (sigma 1 to 2.5)
3,2200,gradual,True,2827.0,627.0,Gradual mean drift (2.5 to 5.0)
4,3000,variance,True,3236.0,236.0,Variance shrink (1.0 → 0.3)
5,4000,mean,True,5213.0,1213.0,Mean reversal (5 → 0)
6,5000,cyclic,True,6746.0,1746.0,Cyclic drift (sin wave)
7,6000,distribution,True,10769.0,4769.0,Gaussian → Uniform
8,7000,gradual,True,11897.0,4897.0,Very slow gradual drift
9,9000,mean,True,15968.0,6968.0,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,False,,,Late variance expansion
11,15000,variance,False,,,Noise reduction
