drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,903,103,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,1524,24,Variance drift (sigma 1 to 2.5)
3,2200,gradual,True,2503,303,Gradual mean drift (2.5 to 5.0)
4,3000,variance,True,3413,413,Variance shrink (1.0 → 0.3)
5,4000,mean,True,4537,537,Mean reversal (5 → 0)
6,5000,cyclic,True,5092,92,Cyclic drift (sin wave)
7,6000,distribution,True,6297,297,Gaussian → Uniform
8,7000,gradual,True,7515,515,Very slow gradual drift
9,9000,mean,True,10204,1204,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,True,12251,251,Late variance expansion
11,15000,variance,True,17252,2252,Noise reduction
