N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution
20000,42,0.0,3.0,0.7,300,0.06,5,11,5,0.45454545454545453,6,5,1,0.16666666666666666,50,4421,2389.4,2050.0,0.06685725122461182,0.014235001276305436,31,2154.0,2794.5,2050.0,,
20000,7,0.0,3.0,0.7,300,0.06,5,11,5,0.45454545454545453,6,5,1,0.16666666666666666,63,4473,2390.4,2086.0,0.0666483374670871,0.013446471144023085,30,2160.0,2773.0,2086.0,,
20000,123,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,5,4,1,0.2,69,5045,2062.25,1567.5,0.06792852573199054,0.01760512208655708,30,69.0,3053.0,2074.0,,
20000,42,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,52,4455,2394.4,2065.0,0.06998913886172686,0.013836077040807207,49,2163.5,2790.0,2065.0,,
20000,7,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,65,4474,2389.6,2092.0,0.06950169667999574,0.01341463597100568,42,2163.5,2764.5,2092.0,,
20000,123,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,5,4,1,0.2,71,5047,2064.75,1570.5,0.06967173580325348,0.017554512918786385,38,71.0,3057.0,2074.0,,
20000,42,0.0,3.0,0.7,300,0.06,10,11,5,0.45454545454545453,6,5,1,0.16666666666666666,55,4452,2396.6,2059.0,0.07430563186826553,0.014040095944671739,68,2163.0,2799.0,2059.0,,
20000,7,0.0,3.0,0.7,300,0.06,10,11,5,0.45454545454545453,6,5,1,0.16666666666666666,68,4475,2389.8,2097.0,0.07246124682989176,0.013546014787804412,63,2165.0,2761.0,2097.0,,
20000,123,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,5,4,1,0.2,74,5052,2066.5,1570.0,0.07372252723843001,0.01737424149172441,53,74.0,3055.5,2081.0,,
20000,42,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,494,494,494.0,494.0,0.060415929451868536,0.02694534435835994,5,494.0,,,,
20000,7,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06038582252250795,0.024218033646100427,5,574.0,,,,
20000,123,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,595,595,595.0,595.0,0.06054006679320882,0.02008038404829916,5,595.0,,,,
20000,42,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,496,496,496.0,496.0,0.06057867182124055,0.026883548199580096,7,496.0,,,,
20000,7,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,576,576,576.0,576.0,0.06067173955467677,0.024080805069903392,7,576.0,,,,
20000,123,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,597,597,597.0,597.0,0.060763950820045876,0.01996901815086884,7,597.0,,,,
20000,42,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,499,499,499.0,499.0,0.06119956200559814,0.026705405338971182,10,499.0,,,,
20000,7,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,579,579,579.0,579.0,0.06078369901498975,0.024026524422091244,10,579.0,,,,
20000,123,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,600,600,600.0,600.0,0.061116251184764776,0.019850249970710557,10,600.0,,,,
20000,42,0.0,6.0,0.7,300,0.06,5,11,7,0.6363636363636364,8,7,1,0.125,45,10565,3469.0,3451.0,0.0674353909445472,0.020098846507290213,44,1884.5,2223.5,2051.0,3451.0,10565.0
20000,7,0.0,6.0,0.7,300,0.06,5,11,7,0.6363636363636364,8,7,1,0.125,49,12022,4852.142857142857,3844.0,0.0718403122773032,0.029117868605366512,42,1946.5,2680.5,2061.0,10628.0,12022.0
20000,123,0.0,6.0,0.7,300,0.06,5,11,9,0.8181818181818182,10,9,1,0.1,48,8493,4320.111111111111,3761.0,0.06673832657564319,0.020324776697521623,57,3901.3333333333335,2395.5,5262.5,3498.0,8363.0
20000,42,0.0,6.0,0.7,300,0.06,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,47,10744,3683.0,2968.5,0.06913280323793196,0.03115951439068298,57,1964.0,2685.0,2056.0,10744.0,
20000,7,0.0,6.0,0.7,300,0.06,7,11,7,0.6363636363636364,8,7,1,0.125,51,12174,4875.0,3846.0,0.07680230012203483,0.029518364743699527,74,1948.5,2679.0,2063.0,10633.0,12174.0
20000,123,0.0,6.0,0.7,300,0.06,7,11,9,0.8181818181818182,10,9,1,0.1,50,8752,4342.111111111111,3731.0,0.07194756710764187,0.020846892464796322,93,3857.6666666666665,2416.5,5246.5,3428.0,8752.0
20000,42,0.0,6.0,0.7,300,0.06,10,11,6,0.5454545454545454,7,6,1,0.14285714285714285,50,10774,3687.5,2977.5,0.07542006294552475,0.03047829203502862,77,1973.0,2673.0,2059.0,10774.0,
20000,7,0.0,6.0,0.7,300,0.06,10,11,7,0.6363636363636364,8,7,1,0.125,54,12555,4941.285714285715,3875.0,0.08044898782523151,0.02893616772060631,87,1964.5,2689.5,2067.0,10659.0,12555.0
20000,123,0.0,6.0,0.7,300,0.06,10,11,9,0.8181818181818182,10,9,1,0.1,53,8502,4327.0,3744.0,0.07994611813157754,0.02089568224203571,102,3887.3333333333335,2400.5,5258.5,3461.0,8502.0
20000,42,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,395,15548,7971.5,7971.5,0.06058472747276816,0.027574107461226755,10,395.0,15548.0,,,
20000,7,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,411,15117,7764.0,7764.0,0.060984460985162664,0.02815481315617379,10,411.0,15117.0,,,
20000,123,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,432,16117,8274.5,8274.5,0.0607446534441003,0.02624295418704402,10,432.0,16117.0,,,
20000,42,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,397,15575,7986.0,7986.0,0.06084413945874965,0.027533899025310546,14,397.0,15575.0,,,
20000,7,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,413,15169,7791.0,7791.0,0.06153170334745216,0.028117610417061352,14,413.0,15169.0,,,
20000,123,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,434,16172,8303.0,8303.0,0.061297416635691285,0.026242159679570456,14,434.0,16172.0,,,
20000,42,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,400,15603,8001.5,8001.5,0.061115086833995955,0.02745076665469817,20,400.0,15603.0,,,
20000,7,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,416,15231,7823.5,7823.5,0.06208668799329787,0.028031325371652052,20,416.0,15231.0,,,
20000,123,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,437,16229,8333.0,8333.0,0.06187857071495437,0.02621122902665171,20,437.0,16229.0,,,
20000,42,0.0,3.0,0.7,400,0.06,5,11,5,0.45454545454545453,5,5,0,0.0,73,4456,2375.0,2107.0,0.06617029307550372,0.015382085499687842,28,2174.0,2710.0,2107.0,,
20000,7,0.0,3.0,0.7,400,0.06,5,11,5,0.45454545454545453,6,5,1,0.16666666666666666,59,4477,2397.2,2080.0,0.06676600384702426,0.013190609480709789,31,2161.5,2791.5,2080.0,,
20000,123,0.0,3.0,0.7,400,0.06,5,11,5,0.45454545454545453,5,5,0,0.0,96,4726,2525.6,2065.0,0.0643052736676205,0.01534972961625373,26,2411.0,2870.5,2065.0,,
20000,42,0.0,3.0,0.7,400,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,75,4461,2385.0,2094.0,0.06617029307550372,0.01422978085416867,42,2179.5,2736.0,2094.0,,
20000,7,0.0,3.0,0.7,400,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,61,4476,2391.0,2089.0,0.06929375024385892,0.01325682911377155,54,2161.5,2771.5,2089.0,,
20000,123,0.0,3.0,0.7,400,0.06,7,11,5,0.45454545454545453,5,5,0,0.0,98,4773,2538.2,2065.0,0.06661229112342276,0.015386517945018914,46,2435.5,2877.5,2065.0,,
20000,42,0.0,3.0,0.7,400,0.06,10,11,5,0.45454545454545453,5,5,0,0.0,78,4461,2380.8,2109.0,0.06786963177642721,0.0152567276089781,50,2182.5,2715.0,2109.0,,
20000,7,0.0,3.0,0.7,400,0.06,10,11,5,0.45454545454545453,6,5,1,0.16666666666666666,64,4477,2392.4,2094.0,0.07415181635556002,0.013363995797673093,61,2166.5,2767.5,2094.0,,
20000,123,0.0,3.0,0.7,400,0.06,10,11,5,0.45454545454545453,5,5,0,0.0,101,4776,2543.2,2061.0,0.06972571299543634,0.015350360366520018,63,2438.5,2889.0,2061.0,,
20000,42,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,619,619,619.0,619.0,0.060493028974883276,0.020571004596100565,5,619.0,,,,
20000,7,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,572,572,572.0,572.0,0.06047959891465408,0.02438318327462473,5,572.0,,,,
20000,123,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,706,706,706.0,706.0,0.06047447948157488,0.016482639799574726,5,706.0,,,,
20000,42,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,621,621,621.0,621.0,0.060772981850054024,0.020456810085364343,7,621.0,,,,
20000,7,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06064368042405859,0.024346408275328284,7,574.0,,,,
20000,123,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,708,708,708.0,708.0,0.06061637112606919,0.01654217457782249,7,708.0,,,,
20000,42,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,624,624,624.0,624.0,0.061045686352282684,0.020288898813249745,10,624.0,,,,
20000,7,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,577,577,577.0,577.0,0.06093023794265153,0.024290975167386302,10,577.0,,,,
20000,123,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,711,711,711.0,711.0,0.06061637112606919,0.016509485096715695,10,711.0,,,,
20000,42,0.0,6.0,0.7,400,0.06,5,11,7,0.6363636363636364,8,7,1,0.125,52,10565,3463.714285714286,3438.0,0.07069647069503711,0.020365055271427998,50,1886.0,2209.5,2052.0,3438.0,10565.0
20000,7,0.0,6.0,0.7,400,0.06,5,11,7,0.6363636363636364,8,7,1,0.125,47,12201,4884.142857142857,3855.0,0.06727585877338277,0.028668455729490262,50,1951.0,2690.0,2066.0,10640.0,12201.0
20000,123,0.0,6.0,0.7,400,0.06,5,11,9,0.8181818181818182,10,9,1,0.1,57,8502,4307.333333333333,3770.0,0.066947029252197,0.02057534568901171,61,3924.3333333333335,2367.0,5265.5,3602.0,8126.0
20000,42,0.0,6.0,0.7,400,0.06,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,54,10744,3676.8333333333335,2968.5,0.07661730952353807,0.03185681238620395,50,1967.5,2663.0,2056.0,10744.0,
20000,7,0.0,6.0,0.7,400,0.06,7,11,7,0.6363636363636364,8,7,1,0.125,49,12174,4874.0,3846.0,0.07296851395204938,0.0295608416414897,76,1947.5,2677.0,2062.0,10633.0,12174.0
20000,123,0.0,6.0,0.7,400,0.06,7,11,9,0.8181818181818182,10,9,1,0.1,59,8958,4348.777777777777,3729.0,0.07103601034317539,0.02227923310591147,82,3833.0,2389.5,5241.0,3421.0,8958.0
20000,42,0.0,6.0,0.7,400,0.06,10,11,6,0.5454545454545454,7,6,1,0.14285714285714285,57,10782,3688.1666666666665,2983.5,0.08512056563090575,0.030536482251881783,78,1978.0,2661.5,2068.0,10782.0,
20000,7,0.0,6.0,0.7,400,0.06,10,11,7,0.6363636363636364,8,7,1,0.125,52,12549,4940.285714285715,3871.0,0.07919405026007283,0.028959747065109228,91,1961.5,2691.0,2071.0,10657.0,12549.0
20000,123,0.0,6.0,0.7,400,0.06,10,11,9,0.8181818181818182,10,9,1,0.1,62,8502,4327.0,3744.0,0.07398778056983299,0.02119939167744728,101,3890.3333333333335,2396.0,5258.5,3461.0,8502.0
20000,42,0.0,6.0,1.0,400,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,444,16334,8389.0,8389.0,0.06062199707614523,0.02662052346641487,10,444.0,16334.0,,,
20000,7,0.0,6.0,1.0,400,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,418,15241,7829.5,7829.5,0.06060835303710616,0.02808023755420858,10,418.0,15241.0,,,
20000,123,0.0,6.0,1.0,400,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,483,16989,8736.0,8736.0,0.06096024710917013,0.025458650624299754,10,483.0,16989.0,,,
20000,42,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,446,16394,8420.0,8420.0,0.06118049809263571,0.02662568582732044,14,446.0,16394.0,,,
20000,7,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,420,15250,7835.0,7835.0,0.06065818670085864,0.028025547994076166,14,420.0,15250.0,,,
20000,123,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,485,17039,8762.0,8762.0,0.061404732902937055,0.025438144157490142,14,485.0,17039.0,,,
20000,42,0.0,6.0,1.0,400,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,449,16404,8426.5,8426.5,0.06136730330671562,0.026637888867026453,20,449.0,16404.0,,,
20000,7,0.0,6.0,1.0,400,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,423,15298,7860.5,7860.5,0.06100075069704491,0.027969608806708686,20,423.0,15298.0,,,
20000,123,0.0,6.0,1.0,400,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,488,17064,8776.0,8776.0,0.06159491356291099,0.025374070604721497,20,488.0,17064.0,,,
20000,42,0.0,3.0,0.7,300,0.08,5,11,5,0.45454545454545453,5,5,0,0.0,65,13724,4319.8,2142.0,0.08761858542296969,0.03570408163254468,25,6894.5,2834.0,2142.0,,
20000,7,0.0,3.0,0.7,300,0.08,5,11,5,0.45454545454545453,5,5,0,0.0,79,12663,4112.2,2120.0,0.08560273591039481,0.0342379930480157,25,6371.0,2849.5,2120.0,,
20000,123,0.0,3.0,0.7,300,0.08,5,11,4,0.36363636363636365,4,4,0,0.0,83,5278,2157.0,1633.5,0.0882388403028661,0.015947867259277902,21,83.0,3219.5,2106.0,,
20000,42,0.0,3.0,0.7,300,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,67,13566,4287.8,2144.0,0.09201908953317066,0.03530986062505435,41,6816.5,2831.0,2144.0,,
20000,7,0.0,3.0,0.7,300,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,81,12875,4161.6,2117.0,0.087800311619362,0.03413824512398203,35,6478.0,2867.5,2117.0,,
20000,123,0.0,3.0,0.7,300,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,85,5267,2155.75,1635.5,0.09069400635647934,0.0160389804460487,28,85.0,3215.5,2107.0,,
20000,42,0.0,3.0,0.7,300,0.08,10,11,5,0.45454545454545453,5,5,0,0.0,70,13736,4327.2,2143.0,0.09743959316879368,0.03542622210369149,58,6903.0,2843.5,2143.0,,
20000,7,0.0,3.0,0.7,300,0.08,10,11,5,0.45454545454545453,5,5,0,0.0,84,12939,4178.4,2117.0,0.09277987458833552,0.03398807847939934,50,6511.5,2876.0,2117.0,,
20000,123,0.0,3.0,0.7,300,0.08,10,11,4,0.36363636363636365,4,4,0,0.0,88,5270,2164.5,1650.0,0.09454372229989617,0.015952449343848343,40,88.0,3231.5,2107.0,,
20000,42,0.0,3.0,1.0,300,0.08,5,11,1,0.09090909090909091,1,1,0,0.0,678,678,678.0,678.0,0.08053795095291306,0.01864680560673638,6,678.0,,,,
20000,7,0.0,3.0,1.0,300,0.08,5,11,1,0.09090909090909091,1,1,0,0.0,815,815,815.0,815.0,0.08051145709759212,0.016365095772219358,5,815.0,,,,
20000,123,0.0,3.0,1.0,300,0.08,5,11,1,0.09090909090909091,1,1,0,0.0,909,909,909.0,909.0,0.0803388165257646,0.013232264667238966,7,909.0,,,,
20000,42,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,680,680,680.0,680.0,0.08069205495756826,0.018552425561526205,8,680.0,,,,
20000,7,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,817,817,817.0,817.0,0.08058142904645187,0.016387434724258833,7,817.0,,,,
20000,123,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,911,911,911.0,911.0,0.0803388165257646,0.013197128317999891,9,911.0,,,,
20000,42,0.0,3.0,1.0,300,0.08,10,11,1,0.09090909090909091,1,1,0,0.0,683,683,683.0,683.0,0.08098797200836781,0.018410622867063787,11,683.0,,,,
20000,7,0.0,3.0,1.0,300,0.08,10,11,1,0.09090909090909091,1,1,0,0.0,851,851,851.0,851.0,0.080958499904489,0.01637215858945906,24,851.0,,,,
20000,123,0.0,3.0,1.0,300,0.08,10,11,1,0.09090909090909091,1,1,0,0.0,914,914,914.0,914.0,0.08044143606112307,0.013126201937468749,12,914.0,,,,
