N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delay_variance,delay_gradual,delay_cyclic,delay_distribution
20000,42,0.2,3.0,1.0,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,33,8174,2261.5,411.5,0.1882224559630465,0.027828593599728703,57,81.5,693.0,8174.0,
20000,7,0.2,3.0,1.0,300,0.08,7,11,4,0.36363636363636365,5,4,1,0.2,371,8647,371.0,824.5,0.25625822516926733,0.04354913079278111,36,4683.0,930.0,,
