drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,1284.0,484.0,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,3353.0,1853.0,Variance drift (sigma 1 to 2.5)
3,2200,gradual,False,,,Gradual mean drift (2.5 to 5.0)
4,3000,variance,False,,,Variance shrink (1.0 → 0.3)
5,4000,mean,False,,,Mean reversal (5 → 0)
6,5000,cyclic,False,,,Cyclic drift (sin wave)
7,6000,distribution,False,,,Gaussian → Uniform
8,7000,gradual,False,,,Very slow gradual drift
9,9000,mean,False,,,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,False,,,Late variance expansion
11,15000,variance,False,,,Noise reduction
